,date,price,month
0,2019-05-06,118.59356916113549,May
1,2019-05-07,113.65293134402278,May
2,2019-05-08,114.07021605893642,May
3,2019-05-09,114.59115953692813,May
4,2019-05-10,117.68190429022472,May
5,2019-05-11,118.30755896737448,May
6,2019-05-12,114.54867826409955,May
7,2019-05-13,114.74839348727791,May
8,2019-05-14,115.25369900328113,May
9,2019-05-15,115.52491797189377,May
10,2019-05-16,115.92301120534886,May
11,2019-05-17,119.18756887265523,May
12,2019-05-18,120.0238841082152,May
13,2019-05-19,115.75854640004953,May
14,2019-05-20,116.28291958150189,May
15,2019-05-21,117.13835200891475,May
16,2019-05-22,117.41573701479601,May
17,2019-05-23,117.9215749396397,May
18,2019-05-24,121.69563548566829,May
19,2019-05-25,122.73647000557172,May
20,2019-05-26,118.09265151984151,May
21,2019-05-27,117.43242741286448,May
22,2019-05-28,117.60907571348976,May
23,2019-05-29,118.40937287191234,May
24,2019-05-30,119.65754968117378,May
25,2019-05-31,123.67275428712932,May
26,2019-06-01,126.15572339503498,June
27,2019-06-02,120.95776635919024,June
28,2019-06-03,121.10425307992324,June
29,2019-06-04,121.58446109081905,June
30,2019-06-05,122.10377019748654,June
31,2019-06-06,122.25309230483502,June
32,2019-06-07,125.42384696341237,June
33,2019-06-08,126.49414969355537,June
34,2019-06-09,122.21654181885718,June
35,2019-06-10,122.0982975298706,June
36,2019-06-11,122.50338636785736,June
37,2019-06-12,122.76341236921934,June
38,2019-06-13,123.32218163808581,June
39,2019-06-14,126.59697888937039,June
40,2019-06-15,127.49106667492107,June
41,2019-06-16,122.85518479539404,June
42,2019-06-17,122.28402154398563,June
43,2019-06-18,122.86272519036712,June
44,2019-06-19,123.03054540952145,June
45,2019-06-20,123.43227883365319,June
46,2019-06-21,126.6300749086857,June
47,2019-06-22,128.01982294310653,June
48,2019-06-23,123.7137250046431,June
49,2019-06-24,124.0172723333127,June
50,2019-06-25,124.45420664891971,June
51,2019-06-26,124.83589426112796,June
52,2019-06-27,125.22933201262923,June
53,2019-06-28,128.53233455085743,June
54,2019-06-29,129.80802327740977,June
55,2019-06-30,125.5755091933387,June
56,2019-07-01,125.87947749644029,July
57,2019-07-02,126.28119853897108,July
58,2019-07-03,126.60342970346066,July
59,2019-07-04,127.08996471243732,July
60,2019-07-05,130.29325821828763,July
61,2019-07-06,130.20653748529685,July
62,2019-07-07,125.88577973131926,July
63,2019-07-08,125.75037454342846,July
64,2019-07-09,126.0051631275924,July
65,2019-07-10,126.20251346499103,July
66,2019-07-11,126.29367919271962,July
67,2019-07-12,129.35563672382838,July
68,2019-07-13,129.9193957778741,July
69,2019-07-14,125.8714170742277,July
70,2019-07-15,124.9237788646072,July
71,2019-07-16,125.14399801894385,July
72,2019-07-17,125.32785241131678,July
73,2019-07-18,125.39200148579211,July
74,2019-07-19,127.99104810251966,July
75,2019-07-20,128.52091871478981,July
76,2019-07-21,124.61722280690893,July
77,2019-07-22,124.99369776512103,July
78,2019-07-23,125.25217606636538,July
79,2019-07-24,125.49657648733981,July
80,2019-07-25,125.49887946511484,July
81,2019-07-26,128.10216058936422,July
82,2019-07-27,128.54701912957344,July
83,2019-07-28,124.5656039125859,July
84,2019-07-29,124.81517984275366,July
85,2019-07-30,124.96552962298026,July
86,2019-07-31,125.04757011081533,July
87,2019-08-01,124.72574753915681,August
88,2019-08-02,127.48673311459171,August
89,2019-08-03,128.12614375038692,August
90,2019-08-04,124.35744443756577,August
91,2019-08-05,124.49385253513279,August
92,2019-08-06,124.69225530861141,August
93,2019-08-07,124.87566396335046,August
94,2019-08-08,124.83063208072804,August
95,2019-08-09,127.23989351823191,August
96,2019-08-10,127.5572091871479,August
97,2019-08-11,123.78044945211415,August
98,2019-08-12,124.00206772735714,August
99,2019-08-13,124.29594502569182,August
100,2019-08-14,124.33505850306445,August
101,2019-08-15,124.50219773416703,August
102,2019-08-16,127.029381539033,August
103,2019-08-17,127.33118306196991,August
104,2019-08-18,123.62706617965704,August
105,2019-08-19,123.65860211725376,August
106,2019-08-20,123.88809509069523,August
107,2019-08-21,124.0179657029654,August
108,2019-08-22,124.08287005509813,August
109,2019-08-23,127.09126478053612,August
110,2019-08-24,127.93155450999814,August
111,2019-08-25,124.1421407788027,August
112,2019-08-26,123.58126663777627,August
113,2019-08-27,123.4669225530861,August
114,2019-08-28,123.4582554324274,August
115,2019-08-29,123.50884665387234,August
116,2019-08-30,127.41896861264162,August
117,2019-08-31,127.7536432860769,August
118,2019-09-01,123.30317588064136,September
119,2019-09-02,123.56005695536433,September
120,2019-09-03,123.84877112610661,September
121,2019-09-04,124.01197300810995,September
122,2019-09-05,124.12255308611404,September
123,2019-09-06,126.75187271714232,September
124,2019-09-07,127.40354113786913,September
125,2019-09-08,123.72042345075218,September
126,2019-09-09,124.33577663591902,September
127,2019-09-10,124.72265213892156,September
128,2019-09-11,124.75351947006747,September
129,2019-09-12,124.80792422460225,September
130,2019-09-13,126.7531356404383,September
131,2019-09-14,127.14975546338141,September
132,2019-09-15,123.4816566582059,September
133,2019-09-16,123.5689593264409,September
134,2019-09-17,123.88556924410327,September
135,2019-09-18,124.06847025320374,September
136,2019-09-19,124.1297591778617,September
137,2019-09-20,127.10328731504984,September
138,2019-09-21,127.6074908685693,September
139,2019-09-22,123.79025568005943,September
140,2019-09-23,124.08800841948865,September
141,2019-09-24,124.283315792732,September
142,2019-09-25,124.32992013867393,September
143,2019-09-26,124.37361480839472,September
144,2019-09-27,127.1603788769888,September
145,2019-09-28,127.4849749272581,September
146,2019-09-29,125.38529065808208,September
147,2019-09-30,125.71459171670897,September
148,2019-10-01,125.67892032439795,October
149,2019-10-02,125.90608555686251,October
150,2019-10-03,126.02237355290039,October
151,2019-10-04,129.1572339503498,October
152,2019-10-05,129.61191110010523,October
153,2019-10-06,125.53765863926206,October
154,2019-10-07,125.54974308178048,October
155,2019-10-08,125.73920633937968,October
156,2019-10-09,125.92110443880394,October
157,2019-10-10,125.95277657401103,October
158,2019-10-11,129.08134711818238,October
159,2019-10-12,129.41831238779173,October
160,2019-10-13,125.42764811490126,October
161,2019-10-14,125.46734352751811,October
162,2019-10-15,125.57611589178481,October
163,2019-10-16,125.57043273695288,October
164,2019-10-17,125.59805608865226,October
165,2019-10-18,128.68194143502754,October
166,2019-10-19,129.14381229492975,October
167,2019-10-20,125.2914381229493,October
168,2019-10-21,125.49057141088343,October
169,2019-10-22,125.63528756268185,October
170,2019-10-23,125.74652386553582,October
171,2019-10-24,125.69583359128335,October
172,2019-10-25,128.77990466167276,October
173,2019-10-26,129.23725623723146,October
