,neighbourhood_cleansed,review_scores_rating,median_price
0,Barking and Dagenham,91.82658959537572,40.0
1,Barnet,94.04137235116045,55.0
2,Bexley,90.14189189189189,40.0
3,Brent,92.4794765020821,59.0
4,Bromley,92.27546296296296,50.0
5,Camden,91.87406716417911,100.0
6,City of London,91.14285714285714,143.0
7,Croydon,93.33285094066571,45.0
8,Ealing,93.53184165232358,55.0
9,Enfield,93.6790450928382,50.0
10,Greenwich,93.7244094488189,60.0
11,Hackney,94.32415206009561,72.0
12,Hammersmith and Fulham,92.71547977265129,90.0
13,Haringey,94.52046384720327,50.0
14,Harrow,91.90102389078498,48.0
15,Havering,95.00740740740741,46.0
16,Hillingdon,92.98503740648378,49.0
17,Hounslow,93.88938053097345,60.0
18,Islington,93.11255411255411,90.0
19,Kensington and Chelsea,91.76425384234011,145.0
20,Kingston upon Thames,94.77897574123989,54.0
21,Lambeth,94.01125492402926,70.0
22,Lewisham,93.96725440806046,50.0
23,Merton,94.77314814814815,65.0
24,Newham,92.39647239263803,55.0
25,Redbridge,93.20143884892086,45.0
26,Richmond upon Thames,95.20324189526184,89.0
27,Southwark,93.0906578220011,79.0
28,Sutton,94.62359550561797,45.0
29,Tower Hamlets,91.32056106739651,70.0
30,Waltham Forest,93.82188841201717,50.0
31,Wandsworth,94.4942767950052,84.0
32,Westminster,90.70416604000602,130.0
