,features,cb_importance,rf_importance
0,accommodates,26.135497716051574,11.32035311252481
1,bedrooms,7.8757202352917615,8.532156773914759
2,cleaning_fee,7.42302355959997,7.362049405389502
3,host_listings_count,5.421998769906404,3.410961659424682
4,availability_90,4.618149078083314,2.540673845029285
5,bathrooms,3.467304788267986,4.928880121007741
6,id,3.145055381404611,2.1603970362983467
7,extra_people,2.936594082812428,1.3447952869049264
8,security_deposit,2.82756772397307,3.7727877540629904
9,number_of_reviews,2.6664890958204204,1.5066824463257273
10,minimum_nights,1.609611363029717,1.2981537716513754
11,maximum_nights,1.2046794450780012,1.1980470528671678
12,guests_included,0.9861829163080862,2.763051225803364
13,step-free access,0.2976865325188961,0.2239639283827143
14,instant_bookable,0.22751126992372858,0.3419237673899435
15,require_guest_profile_picture,0.14454302787069256,0.06581098554427503
16,host_identity_verified,0.1388326886078267,0.24341099215121398
17,host_is_superhost,0.13521188885543567,0.15754719469763231
18,hair dryer,0.11805161298847495,0.17402148219214142
19,self check-in,0.0721617130157075,0.15285773238029624
20,heating,0.07129928928261553,0.14323321395472305
21,wifi,0.06946178950218397,0.10792200199958293
22,free parking on premises,0.06406472755302386,0.18205751767108577
23,essentials,0.062497562997868,0.13093497474524435
24,host greets you,0.06094021387224627,0.16556867558999008
25,smoke detector,0.05928363187439879,0.17026271167787946
26,shampoo,0.058810512141389874,0.17289916825420712
27,elevator,0.05629215681759358,0.1719769790352771
28,private entrance,0.05288266455410503,0.17176389738180842
29,tv,0.051977583259487516,0.1826796793069862
30,dryer,0.05103276453393503,0.17542852466165762
31,hot water,0.048810739421602835,0.1541993565204637
32,laptop friendly workspace,0.04364223765140178,0.16534255904374276
33,hangers,0.04238050052164958,0.16237270572142784
34,host_has_profile_pic,0.04016527161272116,0.03722360385874036
35,dishwasher,0.03931924232551252,0.12519417078654194
36,extra pillows and blankets,0.0386726151285343,0.13279691660902557
37,lock on bedroom door,0.03715880225852061,0.1704040985809486
38,coffee maker,0.03430505991876888,0.11999791806263556
39,dishes and silverware,0.03269815072537385,0.11358110760941917
40,iron,0.030209823947997982,0.15489959773396175
41,fire extinguisher,0.03008937098860831,0.16719673129795115
42,washer,0.029777155379970947,0.15428587730855953
43,family/kid friendly,0.026827907311759835,0.18202047819100164
44,long term stays allowed,0.026794696233111728,0.14259587964851364
45,microwave,0.026110005405176172,0.12864782854548598
46,cable tv,0.025030921091088995,0.14449519059845273
47,carbon monoxide detector,0.022124575448996906,0.1668197418351365
48,cooking basics,0.019914544995544157,0.11483607157530994
49,bed linens,0.018549388731839634,0.13693900845886461
50,kitchen,0.016729734941918296,0.1297204722590637
51,stove,0.012902539881440075,0.11705627800371017
52,oven,0.011990598841492263,0.11576402691382251
53,first aid kit,0.011615577821456915,0.16230665764816848
54,require_guest_phone_verification,0.010941871924818412,0.04655695832330097
55,internet,0.008487146849543603,0.16406393164527588
56,refrigerator,0.007607343999478168,0.11910037542884479
57,requires_license,0.0,0.0
58,is_business_travel_ready,0.0,0.0
