date,date,number_of_reviews,year
2009-12-21,2009-12-21,1,2009
2010-03-21,2010-03-21,1,2010
2010-03-29,2010-03-29,1,2010
2010-04-14,2010-04-14,1,2010
2010-05-09,2010-05-09,2,2010
2010-05-15,2010-05-15,1,2010
2010-05-23,2010-05-23,1,2010
2010-05-31,2010-05-31,1,2010
2010-06-01,2010-06-01,1,2010
2010-06-14,2010-06-14,1,2010
2010-06-15,2010-06-15,1,2010
2010-06-17,2010-06-17,1,2010
2010-06-20,2010-06-20,1,2010
2010-06-22,2010-06-22,1,2010
2010-06-23,2010-06-23,1,2010
2010-06-25,2010-06-25,1,2010
2010-06-28,2010-06-28,2,2010
2010-07-01,2010-07-01,1,2010
2010-07-06,2010-07-06,1,2010
2010-07-10,2010-07-10,1,2010
2010-07-17,2010-07-17,1,2010
2010-07-18,2010-07-18,1,2010
2010-07-21,2010-07-21,1,2010
2010-07-22,2010-07-22,1,2010
2010-07-24,2010-07-24,1,2010
2010-07-25,2010-07-25,1,2010
2010-08-01,2010-08-01,1,2010
2010-08-11,2010-08-11,1,2010
2010-08-15,2010-08-15,1,2010
2010-08-16,2010-08-16,1,2010
2010-08-17,2010-08-17,2,2010
2010-08-18,2010-08-18,1,2010
2010-08-22,2010-08-22,1,2010
2010-08-29,2010-08-29,1,2010
2010-08-31,2010-08-31,1,2010
2010-09-01,2010-09-01,1,2010
2010-09-03,2010-09-03,1,2010
2010-09-04,2010-09-04,2,2010
2010-09-11,2010-09-11,2,2010
2010-09-13,2010-09-13,1,2010
2010-09-14,2010-09-14,2,2010
2010-09-15,2010-09-15,3,2010
2010-09-16,2010-09-16,1,2010
2010-09-18,2010-09-18,1,2010
2010-09-20,2010-09-20,1,2010
2010-09-22,2010-09-22,3,2010
2010-09-23,2010-09-23,2,2010
2010-09-24,2010-09-24,1,2010
2010-09-25,2010-09-25,1,2010
2010-09-26,2010-09-26,1,2010
2010-09-27,2010-09-27,2,2010
2010-09-28,2010-09-28,2,2010
2010-09-29,2010-09-29,2,2010
2010-10-02,2010-10-02,2,2010
2010-10-03,2010-10-03,1,2010
2010-10-04,2010-10-04,1,2010
2010-10-05,2010-10-05,3,2010
2010-10-06,2010-10-06,3,2010
2010-10-07,2010-10-07,1,2010
2010-10-09,2010-10-09,1,2010
2010-10-10,2010-10-10,1,2010
2010-10-11,2010-10-11,7,2010
2010-10-13,2010-10-13,1,2010
2010-10-15,2010-10-15,1,2010
2010-10-16,2010-10-16,1,2010
2010-10-17,2010-10-17,4,2010
2010-10-18,2010-10-18,3,2010
2010-10-19,2010-10-19,3,2010
2010-10-20,2010-10-20,2,2010
2010-10-22,2010-10-22,3,2010
2010-10-24,2010-10-24,4,2010
